id,author,year,title,resource_type,doi_isbn,journal,volume_pages,resource_notes,user_id,created_at,updated_at
523,"Suzuki, A., Hibino, K., Iwase, A., & Kawahata, H. (",2005,"). Intercolony variability of skeletal oxygen and carbon isotope signatures of cultured< i> Porites</i> corals: Temperature-controlled experiments. Geochimica et cosmochimica acta, 69(18), ",paper,"","","","",15,,
524,"Linsley, B. K., Messier, R. G., & Dunbar, R. B. (",1999,"). Assessing between-colony oxygen isotope variability in the coral Porites lobata at Clipperton Atoll. Coral Reefs, 18(1), 13-27.",paper,"","","","",15,,
525,"Bessat, F., & Buigues, D. (",2001,"). Two centuries of variation in coral growth in a massive Porites colony from Moorea (French Polynesia): a response of ocean-atmosphere variability from south central Pacific. Palaeogeography, Palaeoclimatology, Palaeoecology, 175(1), 381-392.",paper,"","","","",15,,
526,"De'ath, G., Lough, J. M., & Fabricius, K. E. (",2009,"). Declining coral calcification on the Great Barrier Reef. Science, 323(",paper,"","","","",15,,
527,"Lough, J. M., & Barnes, D. J. (",2000,"). Environmental controls on growth of the massive coral Porites. Journal of Experimental Marine Biology and Ecology, 245(2), 225-243.",paper,"","","","",15,,
528,"Cooper, T. F., De'Ath, G., Fabricius, K. E., & Lough, J. M. (",2007,"). Declining coral calcification in massive Porites in two nearshore regions of the northern Great Barrier Reef. Global Change Biology, 14(3), 529-538.",paper,"","","","",15,,
529,"Darke, W. M., & Barnes, D. J. (",1993,"). Growth trajectories of corallites and ages of polyps in massive colonies of reef-building corals of the genus Porites. Marine Biology, 117(2), 321-326.",paper,"","","","",15,,
530,"Lough, J. M., & Barnes, D. J. (",1997,"). Several centuries of variation in skeletal extension, density and calcification in massive Porites colonies from the Great Barrier Reef: A proxy for seawater temperature and a background of variability against which to identify unnatural change. Journal of Experimental Marine Biology and Ecology, 211(1), 29-67.",paper,"","","","",15,,
531,"Middlebrook, R., Anthony, K. R., Hoegh-Guldberg, O., & Dove, S. (",2010,"). Heating rate and symbiont productivity are key factors determining thermal stress in the reef-building coral Acropora formosa. Journal of Experimental Biology, 213(7), ",paper,"","","","",15,,
532,"Leuzinger, S., Anthony K.R.N., and Willis B.L. (",2003,) Reproductive energy investment in corals: scaling with module size. Oecologia 136:524-532,paper,"","","","",15,,
533,"Porter JW, Fitt WK, Spero HJ, Rogers CS, White MJ",1989,Bleaching in reef corals: Physiological and stable isotopic responses,paper,http://www.pnas.org/content/86/23/9342.full.pdf,PNAS,"86, 9342-9346","",15,,2014-02-28 00:05:31 UTC
534,"Fitt WK, Spero HJ, Halas J, White MW, Porter JW",1993,"Recovery of the coral Montastrea annularis in the Florida Keys after the 1987 Caribbean ""bleaching event""",paper,http://link.springer.com/article/10.1007%2FBF00302102,Coral Reefs,"12, 57-64","",15,,2014-02-27 23:57:03 UTC
535,"Achituv, Y., Ben-Zion, M., & Mizrahi, L. (",1994,") Carbohydrate, lipid, and protein composition of zooxanthellae and animal fractions of the coral Pocillopora damicornis exposed to ammonium enrichment. Pacific Science, 48(3), 224-233.",paper,"","","","",15,,
536,"Wilkerson, F.P., Kobayashi D., and Muscatine L. (",1988,) Mitotic index and size of symbiotic algae in Caribbean Reef corals. Coral Reefs. 7:29-36,paper,"","","","",15,,
537,"Jones, R.J., and Yellowlees D. (",1997,) Regulation and control of intracellular algae(=zooxanthellae) in hard corals. Phil. Trans. R. Soc. Lond. B 35: 457-468,paper,"","","","",15,,
538,"Jones, R.J. (",1997,) Zooxanthellae loss as a bioassay for assessing stress in corals. MEPS 148:163-171,paper,"","","","",15,,
539,"Roff, G., Kvennefors, E. C., Ulstrup, K. E., Fine, M., & Hoegh-Guldberg, O. (",2008,"). Coral disease physiology: the impact of Acroporid white syndrome on Symbiodinium. Coral Reefs, 27(2), 373-377.",paper,"","","","",15,,
540,"Stimson, J., Sakai K., and Sembali H. (",2002,) Interspecific comparison of the symbiotic relationship in corals with high and low rates of bleaching-induced mortality. Coral Reefs. 21:409-421,paper,"","","","",15,,
541,"Cervino, J., Goreau T.J., Nagelkerken I., Smith G.W., and Hayes R. (",2001,") Yellow band and dark spot syndromes in Caribbean corals: distribution, rate of spread, cytology, and effects on abundance and division rate of zooxanthellae. Hydrobiologia 460:53-63",paper,"","","","",15,,
542,"Gleason, D.F. (",1993,) Differential effects of Ultraviolet radiation on green and brown morphs of the Caribbean coral Porites astreoides. Limnology and Oceanography. 38:,paper,"","","","",15,,
543,"Szmant, A.M. (",1986,) Reproductive ecology of Caribbean reef corals. Coral Reefs 5:43-54,paper,"","","","",15,,
544,"Berkelmans, R., & Willis, B. L. (",1999,"). Seasonal and local spatial patterns in the upper thermal limits of corals on the inshore Central Great Barrier Reef. Coral Reefs, 18(3), 219-228.",paper,"","","","",15,,
545,"Hall, V.R. and Hughes T.P. (",1996,) Reproductive strategies of modular organisms: Comparative studies of reef-building corals. Ecology 77:950-964,paper,"","","","",15,,
546,"Lasker, H.R. (",1981,) Phenotypic variation in the coral Montastrea cavernosa and its effects on colony energetics. Biol Bull 160:292-302,paper,"","","","",15,,
547,"Acosta. A, and Zea S. (",1997,") Sexual reproduction of the reef coral Montastrea cavernosa (Scleractinia: Faviidae) in the Santa Marta area, Caribbean coast of Colombia. Marine Biology 128:141-148",paper,"","","","",15,,
548,"Van Veghel, M.L.J., and Bak R.P.M. (",1993,") Intraspecific variation of a dominant Caribbean reef building coral, Montastrea annularis: genetic, behavioral and morphometric aspects. MEPS 92:255-265",paper,"","","","",15,,
549,"Burns JH, Rozet NK, Takabayashi M",2011,"Morphology, severity, and distribution of growth anomalies in the coral, Montipora capitata, at Waipae, Hawaii",paper,"",Coral Reefs,"30, 819-826","",15,,2014-06-07 04:58:52 UTC
550,"Anthony, K.R.N. (",1999,) Coral suspension feeding on fine particulate matter. JEMBE 232:85-106,paper,"","","","",15,,
551,"Palardy, J.E., Grottoli A.G., and Matthews K.A. (",2006,) Effect of naturally changing zooplankton concentrations on feeding rates of two coral species in the Eastern Pacific. JEMBE. 331:99-107,paper,"","","","",15,,
552,"Tricas, T.C. ",1989,. Prey selection by coral-feeding butterflyfishes : strategies to maximize the profit. Environmental Biology  of Fishes 25:171-185,paper,"","","","",15,,
553,"Sier, C.J.S., and P.J.W. Olive. ",1994,. Reproduction and reproductive variability in the coral Pocillopora verrucosa from the Republic of Maldives. Marine Biology 118:713-722,paper,"","","","",15,,
554,"Edmunds, P.J.E., and Davies P.S. (",1989,) An energy budget for Porites porites (Scleractinia) growing in a stressed environment. Coral Reefs 8:37-43.,paper,"","","","",15,,
555,"Edmunds, P.J.E., and Davies P.S. (",1986,) An energy budget for Porites porites (Scleractinia). Marine Biology 92:339-347.,paper,"","","","",15,,
556,"Edmunds, P.J. and Gates R.D (",2002,) Normalizing physiological data for scleractinian corals. Coral Reefs 21:193-197.,paper,"","","","",15,,
557,"Middlebrook, R., Hoegh-Guldberg, O., & Leggat, W. (",2008,"). The effect of thermal history on the susceptibility of reef-building corals to thermal stress. Journal of Experimental Biology, 211(7), ",paper,"","","","",15,,
558,"Li S, Yu K, Shi Q, Chen T, Zhao M, Zhao J",2008,Interspecies and spatial diversity in the symbiotic zooxanthellae density in corals from northern South China Sea and its relationship to coral reef bleaching,paper,http://link.springer.com/article/10.1007%2Fs11434-007-0514-4,Chinese Science Bulletin,"53, 295-303","",15,,2014-02-26 22:57:12 UTC
559,"Fagoonee, I., Wilson, H. B., Hassell, M. P., & Turner, J. R. (",1999,"). The dynamics of zooxanthellae populations: a long-term study in the field. Science, 283(",paper,"","","","",15,,
560,"Strychar KB, Coates M, Sammarco PW",2004,"Loss of Symbiodinium from bleached Australian scleractinian corals (Acropora hyacinthus, Favites complanata and Porites solida)",paper,http://www.publish.csiro.au/paper/MF03080.htm,Marine and Freshwater Research,"55, 135-144","",15,,2014-02-27 22:52:43 UTC
561,"Chen, C. A., Wang, J. T., Fang, L. S., & Yang, Y. W. (",2005,"). Fluctuating algal symbiont communities in Acropora palifera (Scleractinia: Acroporidae) from Taiwan. Marine ecology. Progress series, 295, 113-121.",paper,"","","","",15,,
562,"DeSalvo, M. K., Sunagawa, S., Voolstra, C. R., & Medina, M. (",2010,"). Transcriptomic responses to heat stress and bleaching in the elkhorn coral Acropora palmata. Marine Ecology Progress Series, 402, 97-113.",paper,"","","","",15,,
563,"Drew, E. A. (",1972,"). The biology and physiology of alga-invertebrates symbioses. II. The density of symbiotic algal cells in a number of hermatypic hard corals and alcyonarians from various depths. Journal of Experimental Marine Biology and Ecology, 9(1), 71-75.",paper,"","","","",15,,
564,"Okamoto, M., Nojima, S., Furushima, Y., & Nojima, H. (",2005,"). Evaluation of coral bleaching condition in situ using an underwater pulse amplitude modulated fluorometer. Fisheries Science, 71(4), 847-854.",paper,"","","","",15,,
565,"Stimson, J., & Kinzie, R. A. (",1991,"). The temporal pattern and rate of release of zooxanthellae from the reef coral Pocillopora damicornis (Linnaeus) under nitrogen-enrichment and control conditions. Journal of Experimental Marine Biology and Ecology, 153(1), 63-74.",paper,"","","","",15,,
566,"Ulstrup, K. E., Berkelmans, R., Ralph, P. J., & Van Oppen, M. J. (",2006,"). Variation in bleaching sensitivity of two coral species across a latitudinal gradient on the Great Barrier Reef: the role of zooxanthellae. Marine Ecology Progress Series, 314, 135-148.",paper,"","","","",15,,
567,"Loya Y., Sakai K., Yamazato K.,Nakano Y., Sambali H., and Woesik, V. (",2001,") Coral bleaching: the winners and the losers. Ecology Letters, 4(2), 122-131.",paper,"","","","",15,,
568,"Rotmann S., and Thomas S. (",2012,") Coral tissue thickness as a bio-indicator of min-related turbidity stress on coral reefs at Lihir Island, Papua New Guinea. Oceanograpy http://dx.doi.org/10.",paper,"","","","",15,,
569,"Hoegh-Guldberg, O. and Salvat B. (",1995,") Periodic mass-bleaching and elevated sea temperature: bleaching of outer reef slope communities in Moorea, French Polynesia. MEPS 121:181-190",paper,"","","","",15,,
570,"Anthony, K.R.N., Connolly, S.R., and Willis B.L. (",2002,) Comparative analysis of energy allocation to tissue and skeletal growth in corals. Limnology and Oceanography. 47:,paper,"","","","",15,,
572,"Thornhill, D.J., Rotjan, R.D., Todd, B.D., Chilcoat, G.C., Iglesias-Prieto, R., Kemp, D.W., LaJeunesse, T.C., McCabe, Reynolds J., Schmidt, G.W., Shannon, T., Warner, M.E., and Fitt, W.K. (",2011,"). A Connection between Colony Biomass and Death in Caribbean Reef-Building Corals. PloS one, 6(12), e",paper,"","","","",15,,
573,"Davies, P.S. (",1984,) The role of zooxanthellae in the nutritional energy requirements of Pocillopora eyedouxi. Coral Reefs 2:181-186.,paper,"","","","",15,,
574,Davies. P.S. (,1980,) Resipration in some Atlantic reef corals in relation to vertical distribution and growth form. Biological Bulletin 158:187-194,paper,"","","","",15,,
575,"Porter, J.W. (",1980,") Primary productivity in the sea: Reef corals in situ. Pages 403-410 in P. G. Falkowski, ed. Primary Productivity in the Sea. Plenum, New York. ",paper,"","","","",15,,
576,"Gladfelter, E.H., Michel,G., and Sanfelici A. (",1989,) Metabolic gradients along a branch of the reef coral Acropora palmata. BMS 44:,paper,"","","","",15,,
577,"Bythell, J.C., (",1988,) A total nitrogen and carbon budget for the elkhorn coral Acropora palmata (Lamarck). Proc 6th ICRS. 2:535-540,paper,"","","","",15,,
578,"Haramaty, L., Achituv Y., and Dubinsky Z. (",1997,") Morphology, photoadaptation, and autotrophy in hermatypic corals. Proc 8th ICRS Panama 1:855-860 ",paper,"","","","",15,,
579,"Castillo, K.D. and Helmuth B.S.T. (",2005,) Influence of thermal history on the response of Montastrea annularis to short-term temperature exposure. Marine Biology 148: 261-270.,paper,"","","","",15,,
580,"Lesser, M. P. (",2000,"). Depth-dependent photoacclimatization to solar ultraviolet radiation in the Caribbean coral Montastrea faveolata. Marine Ecology Progress Series, 192, 137-151.",paper,"","","","",15,,
581,"Lesser, M.P., Weis,V.M., Patterson, M.R., and Jokiel, P.L. (",1994,") Effects of morphology and water motion on carbon delivery and productivity in the reef coral Pocillopora damicornis (Linnaeus): Diffusion barriers, inorganic carbon limitation, and biochemical plasticity. JEMBE. 178:153-179",paper,"","","","",15,,
582,"Rex, A., Montebon, F., and Yap, H.T. (",1995,) Metabolic responses of the scleractinian coral Porites cylindrica Dana to water motion. I. Oxygen flux studies. JEMBE 186:33-52,paper,"","","","",15,,
583,"Edmunds, P.J.E., and Davies, P.S. (",1986,) An energy budget for Porites porites (Scleractinia). Marine Biology 92:339-347.,paper,"","","","",15,,
584,"Edmunds, P.J.E., and Davies, P.S. (",1989,) An energy budget for Porites porites (Scleractinia) growing in a stressed environment. Coral Reefs 8:37-43.,paper,"","","","",15,,
585,"Edmunds, P.J. (",2005,) Effect of elevated temperature on aerobic respiration of coral recruits. Marine Biology 146:655-663,paper,"","","","",15,,
586,"Edmunds, P. J. (",2012,") Effect of pCO2 on the growth, respiration, and photophysiology of massive Porites spp. in Moorea, French Polynesia. Marine Biology, 1-12.",paper,"","","","",15,,
587,"Veron, J.E.N.",1992,Conservation of biodiversity: a critical time for the hermatypic corals of Japan,paper,"",Coral Reefs,11:13-21,"",,2014-03-18 05:56:12 UTC,2014-03-18 05:56:12 UTC
588,"Dai C-f, Horng, S",2009,Scleractinia Fauna of Taiwan: Complex Group I,book,"","","","",,2014-04-02 05:20:17 UTC,2014-04-02 05:20:17 UTC
